# Nmap 6.01 scan initiated Tue Apr 16 09:39:29 2013 as: /usr/local/bin/nmap -oN 192.168.0.0_24.nmap.txt -vvv --reason -T4 -sV --script=banner -O -sU -sS -p U:623,624,69,161,162,5900,5901,623,624,69,161,162,5900,5901,1900,1278,1279,2606,2607,4995,1188,T:22,23,80,161,162,443,623,5900,5901,8080,22,23,80,161,162,443,623,5900,5901,8080,555,4988,5120,5123,50000,8889,17990,1278,1279,2606,2607,3269,3668,3669,5869,5981,8192,1188,3002,3389,9300,17988,17990,5120 -v 192.168.0.0/24
Nmap scan report for 192.168.0.0 [host down, received no-response]
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: 00:26:B0:E8:38:8A (Apple)
Device type: phone|media device|general purpose
Running: Apple iOS 4.X, Apple Mac OS X 10.6.X
OS CPE: cpe:/o:apple:iphone_os:4 cpe:/o:apple:mac_os_x:10.6
OS details: Apple Mac OS X 10.5 - 10.6.8 (Leopard - Snow Leopard) (Darwin 9.0.0b5 - 10.8.0) or iOS 4.0 - 4.2.1
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=0026B0%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=102%GCD=1%ISR=105%TI=RD%CI=RD%II=RI%
OS:TS=3)OPS(O1=M5B4NW3NNT11SLL%O2=M5B4NW3NNT11SLL%O3=M5B4NW3NNT11%O4=M5B4NW
OS:3NNT11SLL%O5=M5B4NW3NNT11SLL%O6=M5B4NNT11SLL)WIN(W1=FFFF%W2=FFFF%W3=FFFF
OS:%W4=FFFF%W5=FFFF%W6=FFFF)ECN(R=Y%DF=Y%T=41%W=FFFF%O=M5B4NW3SLL%CC=N%Q=)T
OS:1(R=Y%DF=Y%T=41%S=O%A=S+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=41%W=0
OS:%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=N%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6
OS:(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=N%T=41%W=0%S=Z%A=S%F
OS:=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=41%IPL=38%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=0%
OS:RUD=G)IE(R=Y%DFI=S%T=41%CD=S)

Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=258 (Good luck!)
IP ID Sequence Generation: Randomized

Nmap scan report for 192.168.0.132
Host is up, received arp-response (0.28s latency).
Scanned at 2013-04-16 09:39:29 PDT for 211s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    closed ssh              reset
23/tcp    closed telnet           reset
80/tcp    closed http             reset
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   closed https            reset
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: F0:4F:7C:AD:D9:65 (Unknown)
Too many fingerprints match this host to give specific OS details
TCP/IP fingerprint:
SCAN(V=6.01%E=4%D=4/16%OT=%CT=22%CU=69%PV=Y%DS=1%DC=D%G=N%M=F04F7C%TM=516D7FBC%P=i686-pc-linux-gnu)
SEQ(CI=Z%II=I)
T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)
T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)
T7(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)
U1(R=Y%DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)
IE(R=Y%DFI=N%T=41%CD=S)

Network Distance: 1 hop

Nmap scan report for 192.168.0.179
Host is up, received arp-response (0.00047s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    open   ssh              syn-ack      Dropbear sshd 0.52 (protocol 2.0)
|_banner: SSH-2.0-dropbear_0.52
23/tcp    closed telnet           reset
80/tcp    closed http             reset
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   open   ssl/http         syn-ack      DD-WRT milli_httpd
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: C0:C1:C0:89:2B:E8 (Cisco-Linksys)
Device type: broadband router
Running: Linux 2.6.X
OS CPE: cpe:/o:linux:kernel:2.6
OS details: DD-WRT v24-sp2 (Linux 2.6.24)
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=C0C1C0%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=C9%GCD=1%ISR=CC%TI=Z%CI=Z%II=I%TS=7)
OS:OPS(O1=M5B4ST11NW1%O2=M5B4ST11NW1%O3=M5B4NNT11NW1%O4=M5B4ST11NW1%O5=M5B4
OS:ST11NW1%O6=M5B4ST11)WIN(W1=16A0%W2=16A0%W3=16A0%W4=16A0%W5=16A0%W6=16A0)
OS:ECN(R=Y%DF=Y%T=41%W=16D0%O=M5B4NNSNW1%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%
OS:F=AS%RD=0%Q=)T2(R=N)T3(R=Y%DF=Y%T=41%W=16A0%S=O%A=S+%F=AS%O=M5B4ST11NW1%
OS:RD=0%Q=)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=Y%T=41%W=0
OS:%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7
OS:(R=N)U1(R=Y%DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(
OS:R=Y%DFI=N%T=41%CD=S)

Uptime guess: 3.557 days (since Fri Apr 12 20:21:46 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=201 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: OS: Linux; Device: WAP; CPE: cpe:/o:linux:kernel

Nmap scan report for 192.168.0.189
Host is up, received arp-response (0.00075s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE  SERVICE          REASON       VERSION
22/tcp    open   ssh              syn-ack      Dropbear sshd 0.52 (protocol 2.0)
|_banner: SSH-2.0-dropbear_0.52
23/tcp    closed telnet           reset
80/tcp    closed http             reset
161/tcp   closed snmp             reset
162/tcp   closed snmptrap         reset
443/tcp   open   ssl/https?       syn-ack
555/tcp   closed dsf              reset
623/tcp   closed oob-ws-http      reset
1188/tcp  closed hp-webadmin      reset
1278/tcp  closed unknown          reset
1279/tcp  closed dellwebadmin-2   reset
2606/tcp  closed netmon           reset
2607/tcp  closed connection       reset
3002/tcp  closed exlm-agent       reset
3269/tcp  closed globalcatLDAPssl reset
3389/tcp  closed ms-wbt-server    reset
3668/tcp  closed unknown          reset
3669/tcp  closed casanswmgmt      reset
4988/tcp  closed unknown          reset
5120/tcp  closed unknown          reset
5123/tcp  closed unknown          reset
5869/tcp  closed unknown          reset
5900/tcp  closed vnc              reset
5901/tcp  closed vnc-1            reset
5981/tcp  closed unknown          reset
8080/tcp  closed http-proxy       reset
8192/tcp  closed sophos           reset
8889/tcp  closed ddi-tcp-2        reset
9300/tcp  closed vrace            reset
17988/tcp closed unknown          reset
17990/tcp closed unknown          reset
50000/tcp closed ibm-db2          reset
69/udp    closed tftp             port-unreach
161/udp   closed snmp             port-unreach
162/udp   closed snmptrap         port-unreach
623/udp   closed asf-rmcp         port-unreach
624/udp   closed unknown          port-unreach
1188/udp  closed hp-webadmin      port-unreach
1278/udp  closed unknown          port-unreach
1279/udp  closed dellwebadmin-2   port-unreach
1900/udp  closed upnp             port-unreach
2606/udp  closed unknown          port-unreach
2607/udp  closed unknown          port-unreach
4995/udp  closed unknown          port-unreach
5900/udp  closed rfb              port-unreach
5901/udp  closed unknown          port-unreach
MAC Address: C0:C1:C0:89:2B:E8 (Cisco-Linksys)
Device type: general purpose
Running: Linux 2.6.X
OS CPE: cpe:/o:linux:kernel:2.6
OS details: Linux 2.6.15 - 2.6.24 (embedded)
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=C0C1C0%TM=
OS:516D7FBC%P=i686-pc-linux-gnu)SEQ(SP=C5%GCD=1%ISR=CA%TI=Z%CI=Z%II=I%TS=7)
OS:OPS(O1=M5B4ST11NW1%O2=M5B4ST11NW1%O3=M5B4NNT11NW1%O4=M5B4ST11NW1%O5=M5B4
OS:ST11NW1%O6=M5B4ST11)WIN(W1=16A0%W2=16A0%W3=16A0%W4=16A0%W5=16A0%W6=16A0)
OS:ECN(R=Y%DF=Y%T=41%W=16D0%O=M5B4NNSNW1%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%
OS:F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T
OS:5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=
OS:Z%F=R%O=%RD=0%Q=)T7(R=N)U1(R=Y%DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK
OS:=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=41%CD=S)

Uptime guess: 3.557 days (since Fri Apr 12 20:21:46 2013)
Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=197 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: OS: Linux; CPE: cpe:/o:linux:kernel

Nmap scan report for 192.168.0.202
Host is up, received arp-response (0.000060s latency).
Scanned at 2013-04-16 09:39:29 PDT for 231s
PORT      STATE         SERVICE          REASON      VERSION
22/tcp    filtered      ssh              no-response
23/tcp    filtered      telnet           no-response
80/tcp    filtered      http             no-response
161/tcp   filtered      snmp             no-response
162/tcp   filtered      snmptrap         no-response
443/tcp   filtered      https            no-response
555/tcp   filtered      dsf              no-response
623/tcp   filtered      oob-ws-http      no-response
1188/tcp  filtered      hp-webadmin      no-response
1278/tcp  filtered      unknown          no-response
1279/tcp  filtered      dellwebadmin-2   no-response
2606/tcp  filtered      netmon           no-response
2607/tcp  filtered      connection       no-response
3002/tcp  filtered      exlm-agent       no-response
3269/tcp  filtered      globalcatLDAPssl no-response
3389/tcp  open          ms-wbt-server    syn-ack     Microsoft Terminal Service
3668/tcp  filtered      unknown          no-response
3669/tcp  filtered      casanswmgmt      no-response
4988/tcp  filtered      unknown          no-response
5120/tcp  filtered      unknown          no-response
5123/tcp  filtered      unknown          no-response
5869/tcp  filtered      unknown          no-response
5900/tcp  filtered      vnc              no-response
5901/tcp  filtered      vnc-1            no-response
5981/tcp  filtered      unknown          no-response
8080/tcp  filtered      http-proxy       no-response
8192/tcp  filtered      sophos           no-response
8889/tcp  filtered      ddi-tcp-2        no-response
9300/tcp  filtered      vrace            no-response
17988/tcp filtered      unknown          no-response
17990/tcp filtered      unknown          no-response
50000/tcp filtered      ibm-db2          no-response
69/udp    open|filtered tftp             no-response
161/udp   open|filtered snmp             no-response
162/udp   open|filtered snmptrap         no-response
623/udp   open|filtered asf-rmcp         no-response
624/udp   open|filtered unknown          no-response
1188/udp  open|filtered hp-webadmin      no-response
1278/udp  open|filtered unknown          no-response
1279/udp  open|filtered dellwebadmin-2   no-response
1900/udp  open|filtered upnp             no-response
2606/udp  open|filtered unknown          no-response
2607/udp  open|filtered unknown          no-response
4995/udp  open|filtered unknown          no-response
5900/udp  open|filtered rfb              no-response
5901/udp  open|filtered unknown          no-response
MAC Address: 00:1D:72:BF:B2:E1 (Wistron)
Warning: OSScan results may be unreliable because we could not find at least 1 open and 1 closed port
Device type: general purpose
Running: Microsoft Windows XP
OS CPE: cpe:/o:microsoft:windows_xp::sp2 cpe:/o:microsoft:windows_xp::sp3
OS details: Microsoft Windows XP SP2 or SP3, Microsoft Windows XP SP3
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=3389%CT=%CU=%PV=Y%DS=1%DC=D%G=N%M=001D72%TM=51
OS:6D7FBC%P=i686-pc-linux-gnu)SEQ(SP=FB%GCD=1%ISR=10F%TI=I%TS=0)OPS(O1=M5B4
OS:NW0NNT00NNS%O2=M5B4NW0NNT00NNS%O3=M5B4NW0NNT00%O4=M5B4NW0NNT00NNS%O5=M5B
OS:4NW0NNT00NNS%O6=M5B4NNT00NNS)WIN(W1=FFFF%W2=FFFF%W3=FFFF%W4=FFFF%W5=FFFF
OS:%W6=FFFF)ECN(R=Y%DF=Y%TG=80%W=FFFF%O=M5B4NW0NNS%CC=N%Q=)T1(R=Y%DF=Y%TG=8
OS:0%S=O%A=S+%F=AS%RD=0%Q=)T2(R=N)T3(R=N)T4(R=Y%DF=N%TG=80%W=0%S=A%A=O%F=R%
OS:O=%RD=0%Q=)U1(R=N)IE(R=N)

Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=251 (Good luck!)
IP ID Sequence Generation: Incremental
Service Info: OS: Windows

Nmap scan report for silent (192.168.0.250)
Host is up, received localhost-response (0.000015s latency).
Scanned at 2013-04-16 09:43:40 PDT for 95s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    open          ssh              syn-ack      OpenSSH 5.1p1 Debian 5ubuntu1 (protocol 2.0)
|_banner: SSH-2.0-OpenSSH_5.1p1 Debian-5ubuntu1
23/tcp    closed        telnet           reset
80/tcp    open          http             syn-ack      Apache httpd 2.2.11 ((Ubuntu) mod_auth_kerb/5.3 PHP/5.2.6-3ubuntu4.6 with Suhosin-Patch mod_ssl/2.2.11 OpenSSL/0.9.8g)
161/tcp   closed        snmp             reset
162/tcp   closed        snmptrap         reset
443/tcp   closed        https            reset
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  closed        exlm-agent       reset
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  closed        vnc              reset
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    open|filtered tftp             no-response
161/udp   closed        snmp             port-unreach
162/udp   closed        snmptrap         port-unreach
623/udp   closed        asf-rmcp         port-unreach
624/udp   closed        unknown          port-unreach
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  closed        unknown          port-unreach
1279/udp  closed        dellwebadmin-2   port-unreach
1900/udp  closed        upnp             port-unreach
2606/udp  closed        unknown          port-unreach
2607/udp  closed        unknown          port-unreach
4995/udp  closed        unknown          port-unreach
5900/udp  closed        rfb              port-unreach
5901/udp  closed        unknown          port-unreach
Device type: general purpose
Running: Linux 2.6.X
OS CPE: cpe:/o:linux:kernel:2.6
OS details: Linux 2.6.17 - 2.6.28
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=161%PV=Y%DS=0%DC=L%G=Y%TM=516D801B
OS:%P=i686-pc-linux-gnu)SEQ(SP=CD%GCD=1%ISR=D4%TI=Z%CI=Z%II=I%TS=7)OPS(O1=M
OS:400CST11NW6%O2=M400CST11NW6%O3=M400CNNT11NW6%O4=M400CST11NW6%O5=M400CST1
OS:1NW6%O6=M400CST11)WIN(W1=8000%W2=8000%W3=8000%W4=8000%W5=8000%W6=8000)EC
OS:N(R=Y%DF=Y%T=41%W=8018%O=M400CNNSNW6%CC=N%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%F
OS:=AS%RD=0%Q=)T2(R=N)T3(R=Y%DF=Y%T=41%W=8000%S=O%A=S+%F=AS%O=M400CST11NW6%
OS:RD=0%Q=)T4(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=Y%T=41%W=0
OS:%S=Z%A=S+%F=AR%O=%RD=0%Q=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7
OS:(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=41%IPL=164%UN=
OS:0%RIPL=G%RID=G%RIPCK=G%RUCK=G%RUD=G)IE(R=Y%DFI=N%T=41%CD=S)

Uptime guess: 260.418 days (since Sun Jul 29 23:43:44 2012)
Network Distance: 0 hops
TCP Sequence Prediction: Difficulty=205 (Good luck!)
IP ID Sequence Generation: All zeros
Service Info: OS: Linux; CPE: cpe:/o:linux:kernel

Nmap scan report for 192.168.0.252 [host down, received no-response]
Nmap scan report for 192.168.0.253 [host down, received no-response]
Nmap scan report for 192.168.0.254 [host down, received no-response]
Nmap scan report for 192.168.0.255 [host down, received no-response]
Nmap scan report for 192.168.0.251
Host is up, received arp-response (0.00013s latency).
Scanned at 2013-04-16 09:43:40 PDT for 160s
PORT      STATE         SERVICE          REASON       VERSION
22/tcp    open          ssh              syn-ack      OpenSSH 4.2 (protocol 1.99)
|_banner: SSH-1.99-OpenSSH_4.2
23/tcp    closed        telnet           reset
80/tcp    open          http             syn-ack      Apache httpd
161/tcp   closed        snmp             reset
162/tcp   closed        snmptrap         reset
443/tcp   open          ssl/http         syn-ack      Apache httpd
555/tcp   closed        dsf              reset
623/tcp   closed        oob-ws-http      reset
1188/tcp  closed        hp-webadmin      reset
1278/tcp  closed        unknown          reset
1279/tcp  closed        dellwebadmin-2   reset
2606/tcp  closed        netmon           reset
2607/tcp  closed        connection       reset
3002/tcp  closed        exlm-agent       reset
3269/tcp  closed        globalcatLDAPssl reset
3389/tcp  closed        ms-wbt-server    reset
3668/tcp  closed        unknown          reset
3669/tcp  closed        casanswmgmt      reset
4988/tcp  closed        unknown          reset
5120/tcp  closed        unknown          reset
5123/tcp  closed        unknown          reset
5869/tcp  closed        unknown          reset
5900/tcp  closed        vnc              reset
5901/tcp  closed        vnc-1            reset
5981/tcp  closed        unknown          reset
8080/tcp  closed        http-proxy       reset
8192/tcp  closed        sophos           reset
8889/tcp  closed        ddi-tcp-2        reset
9300/tcp  closed        vrace            reset
17988/tcp closed        unknown          reset
17990/tcp closed        unknown          reset
50000/tcp closed        ibm-db2          reset
69/udp    closed        tftp             port-unreach
161/udp   open|filtered snmp             no-response
162/udp   closed        snmptrap         port-unreach
623/udp   closed        asf-rmcp         port-unreach
624/udp   closed        unknown          port-unreach
1188/udp  closed        hp-webadmin      port-unreach
1278/udp  closed        unknown          port-unreach
1279/udp  open|filtered dellwebadmin-2   no-response
1900/udp  closed        upnp             port-unreach
2606/udp  closed        unknown          port-unreach
2607/udp  closed        unknown          port-unreach
4995/udp  open|filtered unknown          no-response
5900/udp  open|filtered rfb              no-response
5901/udp  closed        unknown          port-unreach
MAC Address: 00:14:FD:13:12:98 (Thecus Technology)
No exact OS matches for host (If you know what OS is running on it, see http://nmap.org/submit/ ).
TCP/IP fingerprint:
OS:SCAN(V=6.01%E=4%D=4/16%OT=22%CT=23%CU=69%PV=Y%DS=1%DC=D%G=Y%M=0014FD%TM=
OS:516D805C%P=i686-pc-linux-gnu)SEQ(SP=C1%GCD=1%ISR=D2%TI=Z%CI=Z%II=I%TS=U)
OS:OPS(O1=M2300NNS%O2=M2300NNS%O3=M2300%O4=M2300NNS%O5=M2300NNS%O6=M2300NNS
OS:)WIN(W1=4600%W2=4600%W3=4600%W4=4600%W5=4600%W6=4600)ECN(R=Y%DF=Y%T=41%W
OS:=4600%O=M2300NNS%CC=Y%Q=)T1(R=Y%DF=Y%T=41%S=O%A=S+%F=AS%RD=0%Q=)T2(R=N)T
OS:3(R=Y%DF=Y%T=41%W=4600%S=O%A=S+%F=AS%O=M2300NNS%RD=0%Q=)T4(R=Y%DF=Y%T=41
OS:%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T5(R=Y%DF=Y%T=41%W=0%S=Z%A=S+%F=AR%O=%RD=0%Q
OS:=)T6(R=Y%DF=Y%T=41%W=0%S=A%A=Z%F=R%O=%RD=0%Q=)T7(R=Y%DF=Y%T=41%W=0%S=Z%A
OS:=S+%F=AR%O=%RD=0%Q=)U1(R=Y%DF=N%T=41%IPL=164%UN=0%RIPL=G%RID=G%RIPCK=G%R
OS:UCK=G%RUD=G)IE(R=Y%DFI=N%T=41%CD=S)

Network Distance: 1 hop
TCP Sequence Prediction: Difficulty=193 (Good luck!)
IP ID Sequence Generation: All zeros

Read data files from: /usr/local/bin/../share/nmap
OS and Service detection performed. Please report any incorrect results at http://nmap.org/submit/ .
# Nmap done at Tue Apr 16 09:46:20 2013 -- 256 IP addresses (17 hosts up) scanned in 411.53 seconds
